ID,ORF_MA,ORF,GENE
0,YDR407C,YDR407C,TRS120
1,YDR180W,YDR180W,SCC2
2,YAR050W,YAR050W,FLO1
3,YKL129C,YKL129C,MYO3
4,YOR328W,YOR328W,PDR10
5,YJR138W,YJR138W,IML1
7,YGR217W,YGR217W,CCH1
8,YLR223C,YLR223C,IFH1
9,YML104C,YML104C,MDM1
10,YPR164W,YPR164W,MMS1
11,YJL080C,YJL080C,SCP160
12,YML100W,YML100W,TSL1
13,YGR184C,YGR184C,UBR1
14,YKL105C,YKL105C,SEG2
15,YDR170C,YDR170C,SEC7
16,YOR151C,YOR151C,RPB2
17,YER155C,YER155C,BEM2
18,YJR041C,YJR041C,URB2
19,YLR256W,YLR256W,HAP1
20,YJL076W,YJL076W,NET1
21,YGL195W,YGL195W,GCN1
22,YNL250W,YNL250W,RAD50
23,YJR033C,YJR033C,RAV1
24,YGR175C,YGR175C,ERG1
25,YPL219W,YPL219W,PCL8
26,YGL253W,YGL253W,HXK2
27,YPR104C,YPR104C,FHL1
28,YFL027C,YFL027C,GYP8
29,YJL214W,YJL214W,HXT8
30,YPL030W,YPL030W,TRM44
31,YER130C,YER130C,COM2
32,YBR055C,YBR055C,PRP6
33,YEL042W,YEL042W,GDA1
34,YLL004W,YLL004W,ORC3
35,YLL055W,YLL055W,YCT1
36,YOR352W,YOR352W,TFB6
37,YNL329C,YNL329C,PEX6
38,YPL248C,YPL248C,GAL4
39,YGR225W,YGR225W,AMA1
40,YLR095C,YLR095C,IOC2
41,YBL051C,YBL051C,PIN4
42,YKL127W,YKL127W,PGM1
43,YPL208W,YPL208W,RKM1
44,YCR045C,YCR045C,RRT12
45,YGL203C,YGL203C,KEX1
46,YMR199W,YMR199W,CLN1
47,YJR093C,YJR093C,FIP1
48,YPL120W,YPL120W,VPS30
49,YLR089C,YLR089C,ALT1
50,YDR411C,YDR411C,DFM1
51,YCL036W,YCL036W,GFD2
52,YKR016W,YKR016W,MIC60
53,YDL154W,YDL154W,MSH5
54,YDR279W,YDR279W,RNH202
55,YBR080C,YBR080C,SEC18
56,YFL053W,YFL053W,DAK2
57,YGL212W,YGL212W,VAM7
58,YNL256W,YNL256W,FOL1
59,YEL013W,YEL013W,VAC8
60,YKL174C,YKL174C,TPO5
61,YCL045C,YCL045C,EMC1
62,YAL036C,YAL036C,RBG1
63,YJL059W,YJL059W,YHC3
64,YBR083W,YBR083W,TEC1
65,YGL012W,YGL012W,ERG4
66,YOL055C,YOL055C,THI20
67,YDR311W,YDR311W,TFB1
68,YCR084C,YCR084C,TUP1
69,YMR300C,YMR300C,ADE4
70,YGL243W,YGL243W,TAD1
71,YGL059W,YGL059W,PKP2
72,YOR269W,YOR269W,PAC1
73,YHR118C,YHR118C,ORC6
74,YKL008C,YKL008C,LAC1
75,YOL125W,YOL125W,TRM13
76,YJL051W,YJL051W,IRC8
77,YIL144W,YIL144W,NDC80
78,YDR026C,YDR026C,NSI1
79,YJR072C,YJR072C,NPA3
80,YKR076W,YKR076W,ECM4
81,YOR204W,YOR204W,DED1
82,YLR023C,YLR023C,IZH3
83,YLR187W,YLR187W,SKG3
84,YEL004W,YEL004W,YEA4
86,YMR319C,YMR319C,FET4
87,YPL091W,YPL091W,GLR1
88,YMR140W,YMR140W,SIP5
89,YPL049C,YPL049C,DIG1
90,YFL055W,YFL055W,AGP3
91,YOL140W,YOL140W,ARG8
92,YCR014C,YCR014C,POL4
93,YBR068C,YBR068C,BAP2
94,YNL206C,YNL206C,RTT106
95,YAL015C,YAL015C,NTG1
96,YOL058W,YOL058W,ARG1
97,YGL065C,YGL065C,ALG2
98,YOR088W,YOR087W,YOR088W
99,YPL230W,YPL230W,USV1
100,YOR155C,YOR155C,ISN1
101,YGL114W,YGL114W,YGL114W
102,YPL190C,YPL190C,NAB3
103,YHR084W,YHR084W,STE12
104,YBR246W,YBR246W,RRT2
105,YAL040C,YAL040C,CLN3
106,YOR251C,YOR251C,TUM1
107,YGR200C,YGR200C,ELP2
108,YBL013W,YBL013W,FMT1
109,YIL101C,YIL101C,XBP1
110,YDR477W,YDR477W,SNF1
111,YDR294C,YDR294C,DPL1
112,YOR317W,YOR317W,FAA1
113,YLR135W,YLR135W,SLX4
114,YBR284W,YBR284W,YBR284W
115,YJL193W,YJL193W,YJL193W
116,YER184C,YER184C,TOG1
117,YGL104C,YGL104C,VPS73
118,YBL019W,YBL019W,APN2
119,YNL191W,YNL191W,DUG3
120,YER108C,YER109C,YER108C
121,YOL132W,YOL132W,GAS4
123,YCR066W,YCR066W,RAD18
124,YMR029C,YMR029C,FAR8
125,YIL140W,YIL140W,AXL2
126,YGL170C,YGL170C,SPO74
127,YPL128C,YPL128C,TBF1
128,YJR134C,YJR134C,SGM1
129,YDL078C,YDL078C,MDH3
130,YNL001W,YNL001W,DOM34
131,YJR061W,YJR061W,YJR061W
132,YGR186W,YGR186W,TFG1
134,YLR045C,YLR045C,STU2
135,YER016W,YER016W,BIM1
136,YPL045W,YPL045W,VPS16
137,YKL062W,YKL062W,MSN4
138,YHR083W,YHR083W,SAM35
139,YDR498C,YDR498C,SEC20
140,YMR127C,YMR127C,SAS2
141,YHR009C,YHR009C,TDA3
142,YBR186W,YBR186W,PCH2
143,YLR106C,YLR106C,MDN1
144,YDR023W,YDR023W,SES1
145,YBR212W,YBR212W,NGR1
146,YLL057C,YLL057C,JLP1
147,YBR121C,YBR121C,GRS1
148,YLR132C,YLR132C,USB1
149,YDR131C,YDR131C,YDR131C
150,YDR228C,YDR228C,PCF11
151,YDR085C,YDR085C,AFR1
152,YLR203C,YLR203C,MSS51
153,YBR279W,YBR279W,PAF1
154,YNL085W,YNL085W,MKT1
155,YEL056W,YEL056W,HAT2
156,YDR522C,YDR522C,SPS2
157,YDR465C,YDR465C,RMT2
158,YMR234W,YMR234W,RNH1
159,YDR317W,YDR317W,HIM1
160,YNL181W,YNL181W,PBR1
161,YGR091W,YGR091W,PRP31
162,YGR261C,YGR261C,APL6
163,YFL022C,YFL022C,FRS2
164,YOR022C,YOR022C,DDL1
165,YFR044C,YFR044C,DUG1
166,YNR026C,YNR026C,SEC12
167,YIL039W,YIL039W,TED1
168,YDR108W,YDR108W,TRS85
169,YMR201C,YMR201C,RAD14
170,YGR109C,YGR109C,CLB6
171,YNL315C,YNL315C,ATP11
172,YDR105C,YDR105C,TMS1
173,YKL109W,YKL109W,HAP4
174,YDR229W,YDR229W,IVY1
175,YMR315W,YMR315W,YMR315W
176,YGR163W,YGR163W,GTR2
177,YNR003C,YNR003C,RPC34
178,YDR213W,YDR213W,UPC2
179,YLL012W,YLL012W,YEH1
180,YDR394W,YDR394W,RPT3
181,YNL187W,YNL187W,SWT21
183,YOR211C,YOR211C,MGM1
184,YDR388W,YDR388W,RVS167
185,YMR274C,YMR274C,RCE1
186,YER114C,YER114C,BOI2
187,YOR230W,YOR230W,WTM1
188,YIL134W,YIL134W,FLX1
189,YOR373W,YOR373W,NUD1
190,YGR052W,YGR052W,FMP48
191,YNL126W,YNL126W,SPC98
192,YHR146W,YHR146W,CRP1
193,YLR277C,YLR277C,YSH1
194,YPR114W,YPR114W,YPR114W
195,YJL087C,YJL087C,TRL1
196,YOL090W,YOL090W,MSH2
197,YGL001C,YGL001C,ERG26
198,YIL120W,YIL120W,QDR1
199,YLR386W,YLR386W,VAC14
200,YBL035C,YBL035C,POL12
201,YJR062C,YJR062C,NTA1
202,YOR298W,YOR298W,MUM3
203,YGR150C,YGR150C,CCM1
204,YJL176C,YJL176C,SWI3
205,YMR016C,YMR016C,SOK2
206,YBR084W,YBR084W,MIS1
207,YLR085C,YLR085C,ARP6
208,YBL104C,YBL104C,SEA4
209,YHR003C,YHR003C,TCD1
210,YKL166C,YKL166C,TPK3
211,YMR165C,YMR165C,PAH1
212,YDR297W,YDR297W,SUR2
213,YLR276C,YLR276C,DBP9
214,YBR234C,YBR234C,ARC40
215,YHR132C,YHR132C,ECM14
216,YDR052C,YDR052C,DBF4
217,YHR103W,YHR103W,SBE22
218,YMR062C,YMR062C,ARG7
219,YPL206C,YPL206C,PGC1
220,YDR515W,YDR515W,SLF1
221,YJL187C,YJL187C,SWE1
222,YDR285W,YDR285W,ZIP1
223,YHR190W,YHR190W,ERG9
224,YMR167W,YMR167W,MLH1
225,YAL020C,YAL020C,ATS1
226,YER017C,YER017C,AFG3
227,YJR121W,YJR121W,ATP2
228,YDR331W,YDR331W,GPI8
229,YKL143W,YKL143W,LTV1
230,YMR297W,YMR297W,PRC1
231,YBR042C,YBR042C,CST26
232,YFL003C,YFL003C,MSH4
233,YLR088W,YLR088W,GAA1
234,YDR416W,YDR416W,SYF1
235,YLR188W,YLR188W,MDL1
236,YOL030W,YOL030W,GAS5
237,YBR166C,YBR166C,TYR1
238,YGR130C,YGR130C,YGR130C
239,YLR181C,YLR181C,VTA1
240,YMR096W,YMR096W,SNZ1
241,YNL246W,YNL246W,VPS75
242,YNL003C,YNL003C,PET8
243,YMR069W,YMR069W,NAT4
244,YGL020C,YGL020C,GET1
245,YKR060W,YKR060W,UTP30
246,YDL129W,YDL129W,YDL129W
247,YBR147W,YBR147W,RTC2
248,YOR385W,YOR385W,YOR385W
249,YLR243W,YLR243W,GPN3
250,YDR384C,YDR384C,ATO3
251,YDR361C,YDR361C,BCP1
252,YHR046C,YHR046C,INM1
253,YCR010C,YCR010C,ADY2
254,YHR192W,YHR192W,LNP1
255,YAL034W-A,YAL034W-A,MTW1
256,YNL148C,YNL148C,ALF1
257,YBR257W,YBR257W,POP4
258,YML025C,YML025C,YML6
259,YEL005C,YEL005C,VAB2
260,YNL032W,YNL032W,SIW14
261,YMR178W,YMR178W,YMR178W
262,YGR132C,YGR132C,PHB1
263,YHR090C,YHR090C,YNG2
264,YPR016C,YPR016C,TIF6
265,YFL038C,YFL038C,YPT1
267,YEL072W,YEL072W,RMD6
268,YDL217C,YDL217C,TIM22
269,YGR081C,YGR081C,SLX9
270,YHR147C,YHR147C,MRPL6
271,YLR145W,YLR145W,RMP1
272,YFR043C,YFR043C,IRC6
273,YIR024C,YIR024C,INA22
274,YAR028W,YAR028W,YAR028W
275,YHR071W,YHR071W,PCL5
276,YMR090W,YMR090W,YMR090W
277,YOR064C,YOR064C,YNG1
278,YKR100C,YKR100C,SKG1
279,YDR246W,YDR246W,TRS23
280,YDR275W,YDR275W,BSC2
281,YNL036W,YNL036W,NCE103
282,YIR030C,YIR030C,DCG1
284,YNL107W,YNL107W,YAF9
285,YDL166C,YDL166C,FAP7
286,YOL110W,YOL110W,SHR5
287,YDL169C,YDL169C,UGX2
288,YHR081W,YHR081W,LRP1
290,YIR017C,YIR017C,MET28
291,YML098W,YML098W,TAF13
292,YDR178W,YDR178W,SDH4
293,YOR253W,YOR253W,NAT5
294,YGL183C,YGL183C,MND1
295,YHR093W,YHR093W,AHT1
296,YML022W,YML022W,APT1
298,YGR273C,YGR273C,YGR273C
299,YDR441C,YDR441C,APT2
300,YLL059C,YLL059C,YLL059C
301,YMR042W,YMR042W,ARG80
302,YHR100C,YHR100C,GEP4
303,YER112W,YER112W,LSM4
304,YGR133W,YGR133W,PEX4
305,YJL104W,YJL104W,PAM16
306,YDR512C,YDR512C,EMI1
