SNP_COUNT,ID,TF_NAME
13,5513,FZF1
11,78,NSI1
9,4414,RGT1
6,336,ZDS1
5,4442,IMP2'
5,64,TEC1
4,1677,REB1
3,2394,YGR067C
3,2283,SEF1
3,1925,AFT2
2,1842,VMS1
2,4324,STP3
2,4447,RTG3
2,2325,HIR2
2,4552,SKN7
2,3262,PPR1
2,4869,ASK10
2,4937,SPT3
2,5041,YJL206C
2,5133,NRG2
1,4202,OTU1
1,4684,DOT5
1,4924,THI3
1,4473,YAP6
1,4927,SPT10
1,5118,MET32
1,5391,CRZ1
1,5416,AZF1
1,4317,SPS18
1,31,COM2
1,4167,SFL1
1,998,GAL80
1,99,USV1
1,127,TBF1
1,204,SWI3
1,517,HPC2
1,897,HIR3
1,927,UME1
1,983,PDR3
1,1064,PDR8
1,3885,SET2
1,1436,MDL2
1,1960,SWI5
1,2231,ARG82
1,2302,RGT2
1,3106,ISW2
1,3443,CUP2
1,3779,SUT2
1,5773,GTS1
