SNP_ID,GENE_ID,UPSNP0,UPSNP1,UPSNP2,DOWNSNP0,DOWNSNP1,DOWNSNP2,SAMESNP
11393_at_x00,0,6,16,0,16,6,0,16
11393_at_x00,1,112,10,4,10,116,0,51
11393_at_x00,2,225,282,25,300,232,0,171
11393_at_x00,3,8,106,2,108,7,1,91
11393_at_x00,4,11,139,3,140,13,0,45
11393_at_x00,5,6,0,0,0,6,0,17
11393_at_x00,6,3,44,0,44,3,0,58
11393_at_x00,8,1,24,0,24,1,0,31
11393_at_x00,9,0,17,1,18,0,0,1
11393_at_x00,11,0,21,0,21,0,0,36
11393_at_x00,12,659,720,67,767,679,0,1281
11393_at_x00,14,4,0,0,0,4,0,0
11393_at_x00,15,0,1,0,1,0,0,2
11393_at_x00,18,5,1,0,1,5,0,9
11393_at_x00,19,419,237,27,246,437,0,636
11393_at_x00,20,0,14,0,14,0,0,4
11393_at_x00,21,25,50,0,50,25,0,38
11393_at_x00,22,0,3,0,3,0,0,7
11393_at_x00,23,2,53,2,55,2,0,65
11393_at_x00,24,5,12,0,12,5,0,1
11393_at_x00,25,15,2,0,2,15,0,7
11393_at_x00,26,142,723,72,776,158,3,909
11393_at_x00,27,1,5,0,5,1,0,6
11393_at_x00,28,535,490,77,559,542,1,733
11393_at_x00,29,546,589,23,602,554,2,923
11393_at_x00,30,13,1,0,1,13,0,1
11393_at_x00,31,4,29,0,28,4,1,30
11393_at_x00,32,45,57,6,58,49,1,176
11393_at_x00,33,291,0,0,0,232,59,17
11393_at_x00,34,0,0,0,0,0,0,20
11393_at_x00,35,123,54,7,57,127,0,170
11393_at_x00,36,10,0,0,0,10,0,0
11393_at_x00,37,0,1,0,1,0,0,0
11393_at_x00,38,0,6,0,6,0,0,0
11393_at_x00,39,65,37,4,36,65,5,68
11393_at_x00,40,96,0,14,6,104,0,0
11393_at_x00,41,2,31,1,32,2,0,44
11393_at_x00,42,11,66,0,66,11,0,39
11393_at_x00,43,0,22,0,22,0,0,7
11393_at_x00,44,41,74,4,78,40,1,75
11393_at_x00,45,6,29,0,29,5,1,29
11393_at_x00,46,24,148,3,151,24,0,95
11393_at_x00,47,0,0,10,5,5,0,73
11393_at_x00,48,0,36,36,35,36,1,38
11393_at_x00,49,404,209,38,222,429,0,689
11393_at_x00,50,21,64,2,66,21,0,109
11393_at_x00,51,213,30,0,30,212,1,134
11393_at_x00,52,35,1,0,1,35,0,40
11393_at_x00,54,30,2,2,2,32,0,84
11393_at_x00,55,3,39,3,41,4,0,24
11393_at_x00,56,388,796,84,831,420,17,992
11393_at_x00,58,0,2,0,2,0,0,8
11393_at_x00,60,0,7,0,7,0,0,5
11393_at_x00,61,0,3,0,3,0,0,0
11393_at_x00,62,38,61,12,70,41,0,166
11393_at_x00,63,8,22,2,24,8,0,24
11393_at_x00,64,110,494,41,523,122,0,525
11393_at_x00,65,15,2,92,88,21,0,49
11393_at_x00,66,17,149,5,152,19,0,73
11393_at_x00,67,7,0,1,0,8,0,22
11393_at_x00,68,0,37,0,37,0,0,12
11393_at_x00,69,51,61,15,71,56,0,128
11393_at_x00,71,440,286,33,299,460,0,904
11393_at_x00,72,0,18,0,17,0,1,91
11393_at_x00,73,35,18,0,17,33,3,86
11393_at_x00,74,189,19,21,26,203,0,159
11393_at_x00,75,15,0,0,0,15,0,2
11393_at_x00,77,9,2,0,2,9,0,19
11393_at_x00,78,25,0,1,0,26,0,15
11393_at_x00,79,36,4,1,4,37,0,20
11393_at_x00,80,482,543,34,555,498,6,1149
11393_at_x00,81,30,0,0,0,30,0,2
11393_at_x00,82,0,5,0,5,0,0,35
11393_at_x00,84,4,62,2,63,4,1,62
11393_at_x00,85,1,18,2,20,1,0,62
11393_at_x00,86,198,528,30,431,156,169,451
11393_at_x00,87,171,62,45,86,192,0,388
11393_at_x00,88,2,32,0,32,2,0,25
11393_at_x00,89,1,10,0,10,1,0,10
11393_at_x00,90,512,650,125,689,583,15,1167
11393_at_x00,91,400,542,48,565,425,0,918
11393_at_x00,93,668,386,69,402,721,0,1139
11393_at_x00,94,0,0,0,0,0,0,1
11393_at_x00,95,0,0,0,0,0,0,1
