SNP_ID,GENE_ID,0--2,0--1,1--2,2--0,1--0,2--1,0--0,1--1,2--2
2599,0,0,8,0,0,14,0,4,12,0
2599,1,1,54,1,0,30,0,70,19,0
2599,2,17,146,10,0,198,0,128,203,0
2599,3,0,37,1,0,62,0,11,96,0
2599,4,8,51,3,0,35,0,66,33,0
2599,5,0,13,0,0,0,0,0,10,0
2599,6,1,1,4,0,59,0,2,38,0
2599,8,0,26,0,0,3,0,0,27,0
2599,9,0,0,1,0,6,0,0,10,0
2599,11,0,4,0,0,25,0,28,0,0
2599,12,5,876,3,11,485,15,657,664,0
2599,14,0,3,0,0,0,0,1,0,0
2599,15,0,0,0,0,2,0,1,0,0
2599,18,0,5,0,0,0,0,0,10,0
2599,19,24,329,18,0,277,0,317,311,0
2599,20,0,6,0,0,4,0,1,6,0
2599,21,0,33,0,0,27,0,18,35,0
2599,22,0,2,0,0,3,0,0,5,0
2599,23,0,7,1,0,55,0,0,55,0
2599,24,1,5,2,0,2,0,0,8,0
2599,25,0,15,0,0,0,0,1,8,0
2599,26,6,366,6,24,540,20,539,299,1
2599,27,0,3,0,0,4,0,1,4,0
2599,28,19,539,13,1,344,1,499,384,0
2599,29,32,565,38,1,420,1,455,546,0
2599,30,0,10,0,0,0,0,0,5,0
2599,31,0,16,0,0,15,0,14,14,0
2599,32,0,20,1,1,120,0,51,91,0
2599,33,42,40,43,0,72,0,69,40,1
2599,34,0,9,0,0,3,0,2,6,0
2599,35,5,89,6,0,69,0,96,86,0
2599,36,0,7,0,0,0,0,0,3,0
2599,37,0,0,0,0,1,0,0,0,0
2599,38,0,0,0,0,2,0,3,1,0
2599,39,1,44,0,1,48,0,63,16,0
2599,40,19,0,21,0,0,0,0,0,1
2599,41,0,0,3,0,47,0,5,23,0
2599,42,0,35,0,0,16,0,39,20,0
2599,43,0,14,0,0,0,0,9,6,0
2599,44,2,44,0,1,58,0,78,11,0
2599,45,0,19,1,0,11,0,1,31,0
2599,46,0,55,0,0,79,0,64,71,0
2599,47,12,1,18,0,0,0,0,2,1
2599,48,0,56,0,0,0,1,0,53,0
2599,49,32,491,18,0,160,0,433,193,0
2599,50,0,18,1,0,80,0,14,81,0
2599,51,1,128,0,1,66,0,76,105,0
2599,52,1,12,0,4,20,0,35,4,0
2599,54,0,9,3,0,51,0,0,55,0
2599,55,0,0,3,0,34,0,0,32,0
2599,56,5,587,6,11,521,14,491,610,0
2599,58,0,2,0,0,2,0,2,2,0
2599,60,0,0,2,0,6,0,0,4,0
2599,61,0,0,0,0,0,0,0,3,0
2599,62,1,120,1,0,17,0,39,95,0
2599,63,2,39,0,0,0,0,2,13,0
2599,64,40,315,25,0,241,0,347,193,0
2599,65,0,71,2,0,2,0,3,78,0
2599,66,3,60,4,0,59,0,56,61,0
2599,67,0,0,1,0,14,0,0,15,0
2599,68,1,2,0,0,21,0,20,3,0
2599,69,6,48,8,0,62,0,34,92,0
2599,71,25,440,21,0,362,0,439,354,0
2599,72,0,0,0,1,55,0,53,0,0
2599,73,0,8,0,1,60,0,65,5,0
2599,74,20,91,18,0,84,0,110,65,0
2599,75,0,11,0,0,0,0,6,0,0
2599,77,0,2,1,0,11,0,0,16,0
2599,78,0,0,2,0,20,0,0,19,0
2599,79,2,25,0,0,3,0,24,6,0
2599,80,32,691,21,2,381,6,563,477,0
2599,81,0,0,0,0,17,0,6,9,0
2599,82,0,0,1,0,22,0,0,17,0
2599,84,1,48,0,0,22,0,50,9,0
2599,85,3,3,2,0,37,0,4,32,0
2599,86,3,334,6,0,263,2,251,336,0
2599,87,7,231,7,2,88,5,146,147,1
2599,88,0,6,0,0,26,0,7,16,0
