TF_NAME,ID
Dig2p,4190
Ime4p,4444
Rpn10p,2892
Stp3p,4324
Kre33p,3276
Gis2p,4720
Thi3p,4924
Flo11p,1323
Asf1p,5929
Snf7p,1667
Elp6p,4222
Ume1p,927
Mdl2p,1436
Rds3p,6507
Cyc8p,6758
Rtg2p,1029
Ure2p,4126
Esa1p,5401
Imp2'p,4442
Lys14p,1470
Hpc2p,517
Rgt2p,2302
Ndd1p,6207
Sua7p,4916
Pdc2p,6766
Stb3p,1372
Mds3p,882
Rts2p,1159
Srb5p,668
Hat1p,6369
Srd1p,4234
Stb4p,653
YNR063W,1508
Hpa2p,5593
YKL222C,5765
Pdr8p,1064
Tho2p,5213
Mal13p,3215
Sip3p,2219
Ngg1p,5488
Rif2p,6318
Hot1p,354
Tod6p,4007
Gal3p,4477
YFL052W,3150
Gal80p,998
Ssn3p,5853
Nsi1p,78
War1p,2746
Stb6p,6356
Rsc30p,4751
Pog1p,1391
Rpd3p,6355
Tbs1p,2213
Jhd1p,4101
Snt2p,4333
Dot5p,4684
Hms2p,5319
Smk1p,5042
Oaf3p,1017
Ask10p,4869
YPR022C,2211
Ime1p,6227
Mot2p,1098
Pho23p,4974
Bye1p,4040
Sas4p,530
Usv1p,99
YPR015C,4665
Eds1p,4964
Hst4p,3734
Sfl1p,4167
Ada2p,1018
Arg82p,2231
Cat8p,4766
Hst3p,1531
YJL206C,5041
Dot6p,4470
YER130C,31
YPR196W,5633
Stp4p,6709
Gsm1p,6683
Wtm2p,1360
Kss1p,579
Rpi1p,3145
Sut2p,3779
Snf11p,6006
Pop2p,3224
Stb2p,4983
YGR067C,2394
Wtm1p,187
Vms1p,1842
Plm2p,1948
Caf4p,4968
Ppr1p,3262
Azf1p,5416
Mbf1p,6560
Dal80p,2120
Ert1p,5485
Tos4p,576
Hel2p,5350
YER184C,116
Fzf1p,5513
Gat1p,6218
Hog1p,2735
Gat4p,1650
Tda9p,1770
Dat1p,6877
Cha4p,6790
Met18p,6699
Hst1p,3563
Met28p,290
Rdr1p,5384
Sip4p,1845
Msi1p,6271
Not3p,2371
Sps18p,4317
Sef1p,2283
Asg1p,3221
Rds1p,1377
Snf1p,110
Nut1p,3541
Rtg1p,4711
Hal9p,5905
Gzf3p,1916
Smp1p,3296
Msn1p,4440
Aca1p,1447
Hap3p,5594
Urc2p,1063
Nnf2p,6294
Hir2p,2325
Upc2p,178
Hir1p,2324
Mig2p,3760
Cdc14p,4009
Sir1p,1068
Ssn2p,1782
Uga3p,3234
Otu1p,4202
Tis11p,3782
Sas5p,2908
Hap1p,19
Set2p,3885
Yap3p,1839
Nrg2p,5133
Mth1p,4931
Dig1p,89
Arg81p,3870
Gis1p,4184
Spt2p,4546
Rif1p,1778
Tos8p,1582
Stb1p,991
Dal81p,2291
Hir3p,897
Pib2p,4604
Opi1p,3689
Met31p,3825
Zds1p,336
Arg80p,301
Rgm1p,2036
Bdf2p,3570
Hda1p,5489
Sut1p,5519
Rme1p,5889
Ino2p,4052
Hcm1p,4128
Rsf2p,2208
YLR278C,453
Isw1p,4748
Aro80p,573
Sif2p,6785
Gat3p,3380
Hap5p,2901
Mig1p,4930
Pgd1p,1370
Hac1p,2932
Rtf1p,6342
Rph1p,2255
Rco1p,1220
Mac1p,3577
Crz1p,5391
Aft2p,1925
Hat2p,155
Rgt1p,4414
Ifh1p,8
Gts1p,5773
Met32p,5118
Tbf1p,127
Rtt107p,6750
Ecm22p,2336
Leu3p,3169
Ndt80p,5050
Rds2p,5409
Srb8p,4431
Cup2p,3443
Stp2p,6354
Mot3p,6695
Met4p,6710
Mss11p,505
Sum1p,1409
Flo8p,2507
Sds3p,6828
Mal33p,5817
Ric1p,6811
Haa1p,482
Stp1p,3578
Esc2p,6774
Put3p,1920
Rtg3p,4447
Rim101p,5408
Yap7p,6856
Cac2p,4764
Rsc1p,5352
Mbp1p,2303
Fkh2p,3286
Swi6p,4496
Rfx1p,5353
Mga1p,3660
Uls1p,6623
Yrr1p,1481
Rlm1p,5907
Xbp1p,109
Nrg1p,6872
Rsc2p,795
Phd1p,2756
Cse2p,2069
Cad1p,5937
Cdc73p,4939
Fkh1p,6300
Thi2p,6730
Srb2p,5123
Dal82p,4664
Adr1p,1781
Ino4p,2511
Hap4p,173
Gal11p,2221
Rlf2p,604
Kar4p,6254
Sir3p,4908
Ume6p,2755
Rox1p,2683
Yap5p,5551
Oaf1p,1468
Taf14p,5974
Skn7p,4552
Sko1p,3124
Yap6p,4473
Pdr3p,983
Hms1p,4029
Hmo1p,6868
Gln3p,1501
Reb1p,1677
Swi4p,454
Pho2p,580
Cup9p,5787
Mga2p,3089
Stb5p,3745
Sas3p,1224
Isw2p,3106
Gal4p,38
Spt3p,4937
Tye7p,5960
Fhl1p,27
Yhp1p,1855
Gcr2p,1081
Pip2p,3204
Aft1p,6209
Snf5p,5434
Pdr1p,2260
Pho4p,3122
Yox1p,1386
Spt4p,7014
Hfi1p,508
Sir2p,3673
Zap1p,549
Cbf1p,4002
Arr1p,2438
Hap2p,2018
Gcr1p,2259
Mcm1p,1525
Mig3p,4044
Hsf1p,1663
Ixr1p,3190
Rpn4p,1827
Sin3p,3866
Spt10p,4927
Swi3p,204
Spt23p,4861
Spt20p,5781
Swi5p,1960
Snf2p,1336
Cin5p,2849
Sin4p,4758
Sok2p,205
Yap1p,1882
Msn4p,137
Yrm1p,5862
Snf6p,1835
Tup1p,68
Cst6p,6642
Bas1p,5938
Gcn4p,6390
Abf1p,5202
Rap1p,5051
Ash1p,3643
Msn2p,5496
Tec1p,64
Ste12p,103
