ID,TF_NAME,SNP_COUNT
5513,Fzf1p,13
78,Nsi1p,11
4414,Rgt1p,9
336,Zds1p,6
4442,Imp2'p,5
64,Tec1p,5
1677,Reb1p,4
2394,YGR067C,3
2283,Sef1p,3
1925,Aft2p,3
4324,Stp3p,2
4869,Ask10p,2
5041,YJL206C,2
1842,Vms1p,2
3262,Ppr1p,2
2325,Hir2p,2
5133,Nrg2p,2
4447,Rtg3p,2
4552,Skn7p,2
4937,Spt3p,2
4924,Thi3p,1
927,Ume1p,1
1436,Mdl2p,1
517,Hpc2p,1
2302,Rgt2p,1
1064,Pdr8p,1
998,Gal80p,1
4684,Dot5p,1
99,Usv1p,1
4167,Sfl1p,1
2231,Arg82p,1
31,YER130C,1
3779,Sut2p,1
5416,Azf1p,1
4317,Sps18p,1
4202,Otu1p,1
3885,Set2p,1
897,Hir3p,1
5391,Crz1p,1
5773,Gts1p,1
5118,Met32p,1
127,Tbf1p,1
3443,Cup2p,1
4473,Yap6p,1
983,Pdr3p,1
3106,Isw2p,1
4927,Spt10p,1
204,Swi3p,1
1960,Swi5p,1
4190,Dig2p,0
4444,Ime4p,0
2892,Rpn10p,0
3276,Kre33p,0
4720,Gis2p,0
1323,Flo11p,0
5929,Asf1p,0
1667,Snf7p,0
4222,Elp6p,0
6507,Rds3p,0
6758,Cyc8p,0
1029,Rtg2p,0
4126,Ure2p,0
5401,Esa1p,0
1470,Lys14p,0
6207,Ndd1p,0
4916,Sua7p,0
6766,Pdc2p,0
1372,Stb3p,0
882,Mds3p,0
1159,Rts2p,0
668,Srb5p,0
6369,Hat1p,0
4234,Srd1p,0
653,Stb4p,0
1508,YNR063W,0
5593,Hpa2p,0
5765,YKL222C,0
5213,Tho2p,0
3215,Mal13p,0
2219,Sip3p,0
5488,Ngg1p,0
6318,Rif2p,0
354,Hot1p,0
4007,Tod6p,0
4477,Gal3p,0
3150,YFL052W,0
5853,Ssn3p,0
2746,War1p,0
6356,Stb6p,0
4751,Rsc30p,0
1391,Pog1p,0
6355,Rpd3p,0
2213,Tbs1p,0
4101,Jhd1p,0
4333,Snt2p,0
5319,Hms2p,0
5042,Smk1p,0
1017,Oaf3p,0
2211,YPR022C,0
6227,Ime1p,0
1098,Mot2p,0
4974,Pho23p,0
4040,Bye1p,0
530,Sas4p,0
4665,YPR015C,0
4964,Eds1p,0
3734,Hst4p,0
1018,Ada2p,0
4766,Cat8p,0
1531,Hst3p,0
4470,Dot6p,0
5633,YPR196W,0
6709,Stp4p,0
6683,Gsm1p,0
1360,Wtm2p,0
579,Kss1p,0
3145,Rpi1p,0
6006,Snf11p,0
3224,Pop2p,0
4983,Stb2p,0
187,Wtm1p,0
1948,Plm2p,0
4968,Caf4p,0
6560,Mbf1p,0
2120,Dal80p,0
5485,Ert1p,0
576,Tos4p,0
5350,Hel2p,0
116,YER184C,0
6218,Gat1p,0
2735,Hog1p,0
1650,Gat4p,0
1770,Tda9p,0
6877,Dat1p,0
6790,Cha4p,0
6699,Met18p,0
3563,Hst1p,0
290,Met28p,0
5384,Rdr1p,0
1845,Sip4p,0
6271,Msi1p,0
2371,Not3p,0
3221,Asg1p,0
1377,Rds1p,0
110,Snf1p,0
3541,Nut1p,0
4711,Rtg1p,0
5905,Hal9p,0
1916,Gzf3p,0
3296,Smp1p,0
