ID,Gene title,Gene symbol,Platform_ORF
0,Trs120p,TRS120,YDR407C
1,cohesin-loading factor complex subunit SCC2,SCC2,YDR180W
2,flocculin FLO1,FLO1,YAR050W
3,myosin 3,MYO3,YKL129C
4,ATP-binding cassette multidrug transporter PDR10,PDR10,YOR328W
5,Iml1p,IML1,YJR138W
7,Cch1p,CCH1,YGR217W
8,Ifh1p,IFH1,YLR223C
9,Mdm1p,MDM1,YML104C
10,Mms1p,MMS1,YPR164W
11,Scp160p,SCP160,YJL080C
12,trehalose 6-phosphate synthase/phosphatase complex subunit,TSL1,YML100W
13,E3 ubiquitin-protein ligase UBR1,UBR1,YGR184C
14,Seg2p,SEG2,YKL105C
15,Arf family guanine nucleotide exchange factor SEC7,SEC7,YDR170C
16,DNA-directed RNA polymerase II core subunit RPB2,RPB2,YOR151C
17,Bem2p,BEM2,YER155C
18,Urb2p,URB2,YJR041C
19,Hap1p,HAP1,YLR256W
20,Net1p,NET1,YJL076W
21,Gcn1p,GCN1,YGL195W
22,MRX complex DNA-binding subunit,RAD50,YNL250W
23,Rav1p,RAV1,YJR033C
24,squalene monooxygenase,ERG1,YGR175C
25,Pcl8p,PCL8,YPL219W
26,hexokinase 2,HXK2,YGL253W
27,Fhl1p,FHL1,YPR104C
28,Gyp8p,GYP8,YFL027C
29,hexose transporter HXT8,HXT8,YJL214W
30,tRNA (uracil) methyltransferase,TRM44,YPL030W
31,Com2p,COM2,YER130C
32,U4/U6-U5 snRNP complex subunit PRP6,PRP6,YBR055C
33,guanosine diphosphatase,GDA1,YEL042W
34,origin recognition complex subunit 3,ORC3,YLL004W
35,Yct1p,YCT1,YLL055W
36,TFIIH complex subunit TFB6,TFB6,YOR352W
37,AAA family ATPase peroxin 6,PEX6,YNL329C
38,galactose-responsive transcription factor GAL4,GAL4,YPL248C
39,Ama1p,AMA1,YGR225W
40,Ioc2p,IOC2,YLR095C
41,Pin4p,PIN4,YBL051C
42,phosphoglucomutase PGM1,PGM1,YKL127W
43,protein-lysine N-methyltransferase,RKM1,YPL208W
44,Rrt12p,RRT12,YCR045C
45,serine-type carboxypeptidase,KEX1,YGL203C
46,cyclin CLN1,CLN1,YMR199W
47,cleavage polyadenylation factor subunit FIP1,FIP1,YJR093C
48,beclin 1,VPS30,YPL120W
49,alanine transaminase ALT1,ALT1,YLR089C
50,Dfm1p,DFM1,YDR411C
51,Gfd2p,GFD2,YCL036W
52,Mic60p,MIC60,YKR016W
53,MutS family protein MSH5,MSH5,YDL154W
54,Rnh202p,RNH202,YDR279W
55,AAA family ATPase SEC18,SEC18,YBR080C
